name,joints,link_length,prev_axe,dof,mu,time,Z,LCI,Passed
roll_z_0_1pitch_y_0_1roll_x_0_7pitch_y_0_1pitch_y_0_7pitch_y_0_1,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.1__0.7__0.1__0.7__0.1_,z_y__x__y__y__y_,6,0.038,2.95,0.069,,1
roll_z_0_1pitch_y_0_7pitch_z_0_7pitch_x_0_7pitch_x_0_7pitch_z_0_7,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.7__0.7__0.7__0.7__0.7_,z_y__z__x__x__z_,6,0.053,3.25,0.084,,1
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_y_0_1pitch_x_0_7pitch_x_0_1,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.1__0.7__0.1__0.7__0.1_,z_y__y__y__x__x_,6,0.13,3.13,0.093,,1
roll_z_0_1pitch_y_0_4pitch_y_0_1roll_z_0_4roll_y_0_1roll_y_0_1,roll_pitch__pitch__roll__roll__roll_,0.1_0.4__0.1__0.4__0.1__0.1_,z_y__y__z__y__y_,6,0.095,2.05,0.093,,1
roll_z_0_1pitch_y_0_4pitch_x_0_4pitch_y_0_4pitch_y_0_4roll_z_0_4,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.4__0.4__0.4_,z_y__x__y__y__z_,6,0.081,2.94,0.095,,1
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_z_0_4pitch_x_0_1pitch_x_0_4,roll_pitch__pitch__pitch__pitch__pitch_,0.1_0.4__0.4__0.4__0.1__0.4_,z_y__y__z__x__x_,6,0.115,3.38,0.097,,1
roll_z_0_1pitch_y_0_7pitch_y_0_7pitch_y_0_1pitch_x_0_7roll_y_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.7__0.7__0.1__0.7__0.1_,z_y__y__y__x__y_,6,0.194,3.12,0.097,,1
roll_z_0_1pitch_y_0_4pitch_y_0_1pitch_y_0_7roll_x_0_7roll_y_0_7,roll_pitch__pitch__pitch__roll__roll_,0.1_0.4__0.1__0.7__0.7__0.7_,z_y__y__y__x__y_,6,0.121,2.66,0.097,,1
roll_z_0_1pitch_y_0_1pitch_y_0_7pitch_y_0_1pitch_x_0_7roll_x_0_1,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.1__0.7__0.1__0.7__0.1_,z_y__y__y__x__x_,6,0.187,2.61,0.098,,1
roll_z_0_1pitch_y_0_4pitch_y_0_4pitch_y_0_7pitch_x_0_4roll_x_0_7,roll_pitch__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.7__0.4__0.7_,z_y__y__y__x__x_,6,0.184,2.1,0.125,,1
